"dateTime,""value""";;Time;Value;
9/01/2021;;16:12:54;77;confidence:2}
9/01/2021;;16:12:59;77;confidence:1}
9/01/2021;;16:13:09;79;confidence:2}
9/01/2021;;16:13:14;80;confidence:1}
9/01/2021;;16:13:19;81;confidence:1}
9/01/2021;;16:13:29;83;confidence:3}
9/01/2021;;16:13:34;83;confidence:2}
9/01/2021;;16:13:39;84;confidence:1}
9/01/2021;;16:13:44;85;confidence:1}
9/01/2021;;16:13:49;88;confidence:1}
9/01/2021;;16:13:54;86;confidence:1}
9/01/2021;;16:13:59;85;confidence:1}
9/01/2021;;16:14:04;82;confidence:2}
9/01/2021;;16:14:09;81;confidence:2}
9/01/2021;;16:14:24;81;confidence:2}
9/01/2021;;16:14:29;82;confidence:1}
9/01/2021;;16:14:34;85;confidence:1}
9/01/2021;;16:14:44;82;confidence:2}
9/01/2021;;16:14:49;81;confidence:2}
9/01/2021;;16:15:04;81;confidence:2}
9/01/2021;;16:15:09;82;confidence:1}
9/01/2021;;16:15:14;83;confidence:1}
9/01/2021;;16:15:19;84;confidence:1}
9/01/2021;;16:15:24;85;confidence:1}
9/01/2021;;16:15:29;86;confidence:1}
9/01/2021;;16:15:34;86;confidence:3}
9/01/2021;;16:15:39;86;confidence:1}
9/01/2021;;16:15:44;86;confidence:2}
9/01/2021;;16:15:49;87;confidence:1}
9/01/2021;;16:15:54;86;confidence:1}
9/01/2021;;16:15:59;88;confidence:1}
9/01/2021;;16:16:14;90;confidence:1}
9/01/2021;;16:16:24;88;confidence:1}
9/01/2021;;16:16:29;86;confidence:1}
9/01/2021;;16:16:34;88;confidence:1}
9/01/2021;;16:16:39;87;confidence:1}
9/01/2021;;16:16:44;89;confidence:1}
9/01/2021;;16:16:49;88;confidence:2}
9/01/2021;;16:16:54;87;confidence:2}
9/01/2021;;16:17:04;88;confidence:2}
9/01/2021;;16:17:09;88;confidence:1}
9/01/2021;;16:17:14;86;confidence:1}
9/01/2021;;16:17:19;88;confidence:1}
9/01/2021;;16:17:24;87;confidence:1}
9/01/2021;;16:17:29;88;confidence:1}
9/01/2021;;16:17:34;86;confidence:2}
9/01/2021;;16:17:39;88;confidence:3}
9/01/2021;;16:17:44;90;confidence:2}
9/01/2021;;16:17:49;93;confidence:2}
9/01/2021;;16:17:54;95;confidence:3}
9/01/2021;;16:17:59;96;confidence:3}
9/01/2021;;16:18:09;100;confidence:1}
9/01/2021;;16:18:24;101;confidence:1}
9/01/2021;;16:18:34;103;confidence:1}
9/01/2021;;16:18:39;99;confidence:1}
