da;eTime;Time;Value;;;
9/02/2021 0:00;7:25:59;17:55:59;70;confidence;1};10:30:00
9/02/2021 0:00;7:26:04;17:56:04;71;confidence;1};10:30:00
9/02/2021 0:00;7:26:09;17:56:09;70;confidence;1};10:30:00
9/02/2021 0:00;7:26:14;17:56:14;67;confidence;1};10:30:00
9/02/2021 0:00;7:26:19;17:56:19;66;confidence;1};10:30:00
9/02/2021 0:00;7:26:29;17:56:29;70;confidence;1};10:30:00
9/02/2021 0:00;7:26:39;17:56:39;71;confidence;1};10:30:00
9/02/2021 0:00;7:26:44;17:56:44;71;confidence;2};10:30:00
9/02/2021 0:00;7:26:54;17:56:54;72;confidence;2};10:30:00
9/02/2021 0:00;7:27:04;17:57:04;71;confidence;2};10:30:00
9/02/2021 0:00;7:27:09;17:57:09;66;confidence;3};10:30:00
9/02/2021 0:00;7:27:14;17:57:14;67;confidence;3};10:30:00
9/02/2021 0:00;7:27:19;17:57:19;67;confidence;2};10:30:00
9/02/2021 0:00;7:27:24;17:57:24;66;confidence;1};10:30:00
9/02/2021 0:00;7:27:29;17:57:29;67;confidence;1};10:30:00
9/02/2021 0:00;7:27:34;17:57:34;71;confidence;1};10:30:00
9/02/2021 0:00;7:27:39;17:57:39;76;confidence;1};10:30:00
9/02/2021 0:00;7:27:44;17:57:44;77;confidence;1};10:30:00
9/02/2021 0:00;7:27:49;17:57:49;79;confidence;1};10:30:00
