"dateTime","value"
"09-02-2021 19:25:39","{""bpm"":72,""confidence"":1}"
"09-02-2021 19:25:44","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:25:49","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:25:54","{""bpm"":74,""confidence"":1}"
"09-02-2021 19:25:59","{""bpm"":70,""confidence"":1}"
"09-02-2021 19:26:04","{""bpm"":71,""confidence"":1}"
"09-02-2021 19:26:09","{""bpm"":70,""confidence"":1}"
"09-02-2021 19:26:14","{""bpm"":67,""confidence"":1}"
"09-02-2021 19:26:19","{""bpm"":66,""confidence"":1}"
"09-02-2021 19:26:29","{""bpm"":70,""confidence"":1}"
"09-02-2021 19:26:39","{""bpm"":71,""confidence"":1}"
"09-02-2021 19:26:44","{""bpm"":71,""confidence"":2}"
"09-02-2021 19:26:54","{""bpm"":72,""confidence"":2}"
"09-02-2021 19:27:04","{""bpm"":71,""confidence"":2}"
"09-02-2021 19:27:09","{""bpm"":66,""confidence"":3}"
"09-02-2021 19:27:14","{""bpm"":67,""confidence"":3}"
"09-02-2021 19:27:19","{""bpm"":67,""confidence"":2}"
"09-02-2021 19:27:24","{""bpm"":66,""confidence"":1}"
"09-02-2021 19:27:29","{""bpm"":67,""confidence"":1}"
"09-02-2021 19:27:34","{""bpm"":71,""confidence"":1}"
"09-02-2021 19:27:39","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:27:44","{""bpm"":77,""confidence"":1}"
"09-02-2021 19:27:49","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:27:54","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:27:59","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:28:14","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:28:19","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:28:34","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:28:39","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:28:44","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:28:54","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:28:59","{""bpm"":83,""confidence"":1}"
