dateTime;value;bpm;confidence;;hora gtm
08-18-2021;19:12:17;72;2};;
08-18-2021;19:12:22;72;1};;
08-18-2021;19:12:27;73;1};;
08-18-2021;19:12:32;76;1};;
08-18-2021;19:12:37;78;1};;
08-18-2021;19:12:42;79;1};;
08-18-2021;19:12:47;79;2};;
08-18-2021;19:12:52;78;1};;
08-18-2021;19:12:57;74;1};;
08-18-2021;19:13:02;70;1};;
08-18-2021;19:13:07;67;3};;
08-18-2021;19:13:12;65;1};;
08-18-2021;19:13:17;62;1};;
08-18-2021;19:13:22;61;1};;
08-18-2021;19:13:27;62;1};;
08-18-2021;19:13:32;67;1};;
08-18-2021;19:13:37;68;1};;
08-18-2021;19:13:47;71;1};;
08-18-2021;19:13:52;72;1};;
08-18-2021;19:13:57;75;1};;
08-18-2021;19:14:02;78;1};;
08-18-2021;19:14:07;76;1};;
08-18-2021;19:14:12;75;1};;
08-18-2021;19:14:17;81;2};;
08-18-2021;19:14:22;87;1};;
08-18-2021;19:14:27;89;1};;
08-18-2021;19:14:37;90;1};;
08-18-2021;19:14:42;91;1};;
08-18-2021;19:14:52;88;1};;
08-18-2021;19:14:57;87;2};;
08-18-2021;19:15:02;87;1};;
08-18-2021;19:15:07;85;3};;
08-18-2021;19:15:12;80;1};;
08-18-2021;19:15:22;81;1};;
08-18-2021;19:15:27;80;1};;
08-18-2021;19:15:37;80;2};;
08-18-2021;19:15:42;80;1};;
08-18-2021;19:15:47;81;1};;
08-18-2021;19:15:57;80;1};;
08-18-2021;19:16:02;80;1};;
08-18-2021;19:16:12;76;2};;
08-18-2021;19:16:17;79;2};;
08-18-2021;19:16:22;77;2};;
08-18-2021;19:16:27;76;2};;
08-18-2021;19:16:32;76;1};;
08-18-2021;19:16:37;78;1};;
08-18-2021;19:16:42;81;1};;
08-18-2021;19:16:47;82;2};;
08-18-2021;19:16:57;84;3};;
08-18-2021;19:17:02;86;2};;
08-18-2021;19:17:07;86;1};;
08-18-2021;19:17:12;85;1};;
08-18-2021;19:17:17;86;1};;
08-18-2021;19:17:22;89;1};;
08-18-2021;19:17:27;90;3};;
08-18-2021;19:17:32;89;1};;
08-18-2021;19:17:37;87;3};;
08-18-2021;19:17:42;87;2};;
08-18-2021;19:17:47;86;1};;
08-18-2021;19:17:52;85;1};;
08-18-2021;19:17:57;84;1};;
08-18-2021;19:18:07;88;1};;
08-18-2021;19:18:12;89;1};;
08-18-2021;19:18:17;88;1};;
08-18-2021;19:18:22;81;1};;
08-18-2021;19:18:27;80;1};;
08-18-2021;19:18:32;75;1};;
08-18-2021;19:18:37;72;1};;
08-18-2021;19:18:42;76;1};;
08-18-2021;19:18:47;79;1};;
08-18-2021;19:18:57;81;1};;
08-18-2021;19:19:02;83;1};;
08-18-2021;19:19:07;84;1};;
08-18-2021;19:19:12;82;1};;
08-18-2021;19:19:17;84;1};;
08-18-2021;19:19:22;82;1};;
08-18-2021;19:19:27;79;1};;
08-18-2021;19:19:37;79;2};;
08-18-2021;19:19:42;80;1};;
08-18-2021;19:19:47;79;1};;
08-18-2021;19:20:02;79;1};;
08-18-2021;19:20:07;77;1};;
08-18-2021;19:20:22;74;1};;
08-18-2021;19:20:32;75;1};;
08-18-2021;19:20:42;76;1};;
08-18-2021;19:20:47;77;1};;
08-18-2021;19:20:52;80;1};;
08-18-2021;19:20:57;78;1};;
08-18-2021;19:21:02;77;1};;
08-18-2021;19:21:07;74;2};;
08-18-2021;19:21:12;71;2};;
08-18-2021;19:21:17;67;3};;
08-18-2021;19:21:22;67;2};;
08-18-2021;19:21:27;66;1};;
08-18-2021;19:21:32;67;1};;
08-18-2021;19:21:37;68;1};;
08-18-2021;19:21:42;69;2};;
08-18-2021;19:21:47;70;2};;
08-18-2021;19:21:52;71;1};;
08-18-2021;19:21:57;72;1};;
08-18-2021;19:22:02;72;3};;
08-18-2021;19:22:07;72;2};;
08-18-2021;19:22:12;69;2};;
08-18-2021;19:22:17;66;2};;
08-18-2021;19:22:27;68;2};;
08-18-2021;19:22:32;69;2};;
08-18-2021;19:22:42;70;2};;
08-18-2021;19:22:47;68;3};;
08-18-2021;19:22:52;67;3};;
08-18-2021;19:22:57;69;3};;
